month,high_temp,low_temp,mean,city
January,-11,-23,-17.0,prince-albert
February,-8,-21,-14.5,prince-albert
March,-1,-13,-7.0,prince-albert
April,10,-3,3.5,prince-albert
May,18,3,10.5,prince-albert
June,22,9,15.5,prince-albert
July,24,12,18.0,prince-albert
August,23,10,16.5,prince-albert
September,18,4,11.0,prince-albert
October,9,-2,3.5,prince-albert
November,-2,-11,-6.5,prince-albert
December,-9,-20,-14.5,prince-albert
