month,high_temp,low_temp,mean,city
January,-3,-11,-7.0,prince-george
February,0,-9,-4.5,prince-george
March,5,-5,0.0,prince-george
April,11,-1,5.0,prince-george
May,17,3,10.0,prince-george
June,20,7,13.5,prince-george
July,23,9,16.0,prince-george
August,22,8,15.0,prince-george
September,17,4,10.5,prince-george
October,10,0,5.0,prince-george
November,2,-5,-1.5,prince-george
December,-2,-10,-6.0,prince-george
