month,high_temp,low_temp,mean,city
January,-5,-14,-9.5,ottawa
February,-4,-13,-8.5,ottawa
March,3,-7,-2.0,ottawa
April,12,1,6.5,ottawa
May,20,8,14.0,ottawa
June,24,13,18.5,ottawa
July,27,15,21.0,ottawa
August,26,14,20.0,ottawa
September,21,10,15.5,ottawa
October,13,3,8.0,ottawa
November,6,-2,2.0,ottawa
December,-2,-9,-5.5,ottawa
