month,high_temp,low_temp,mean,city
January,-2,-14,-8.0,medicine-hat
February,0,-12,-6.0,medicine-hat
March,7,-6,0.5,medicine-hat
April,14,0,7.0,medicine-hat
May,19,5,12.0,medicine-hat
June,23,10,16.5,medicine-hat
July,28,12,20.0,medicine-hat
August,27,11,19.0,medicine-hat
September,22,6,14.0,medicine-hat
October,14,0,7.0,medicine-hat
November,5,-7,-1.0,medicine-hat
December,-1,-12,-6.5,medicine-hat
