month,high_temp,low_temp,mean,city
January,-9,-20,-14.5,saskatoon
February,-7,-19,-13.0,saskatoon
March,0,-11,-5.5,saskatoon
April,11,-2,4.5,saskatoon
May,18,4,11.0,saskatoon
June,22,9,15.5,saskatoon
July,25,12,18.5,saskatoon
August,24,10,17.0,saskatoon
September,19,5,12.0,saskatoon
October,10,-2,4.0,saskatoon
November,0,-10,-5.0,saskatoon
December,-8,-18,-13.0,saskatoon
