month,high_temp,low_temp,mean,city
January,-2,-10,-6.0,kitchener
February,-2,-10,-6.0,kitchener
March,4,-6,-1.0,kitchener
April,12,0,6.0,kitchener
May,19,6,12.5,kitchener
June,24,12,18.0,kitchener
July,26,14,20.0,kitchener
August,25,13,19.0,kitchener
September,21,9,15.0,kitchener
October,14,3,8.5,kitchener
November,7,-1,3.0,kitchener
December,1,-6,-2.5,kitchener
