month,high_temp,low_temp,mean,city
January,-5,-17,-11.0,red-deer
February,-2,-15,-8.5,red-deer
March,2,-9,-3.5,red-deer
April,11,-3,4.0,red-deer
May,17,3,10.0,red-deer
June,20,8,14.0,red-deer
July,23,9,16.0,red-deer
August,22,8,15.0,red-deer
September,18,3,10.5,red-deer
October,11,-3,4.0,red-deer
November,2,-10,-4.0,red-deer
December,-4,-16,-10.0,red-deer
