month,high_temp,low_temp,mean,city
January,-3,-13,-8.0,corner-brook
February,-3,-14,-8.5,corner-brook
March,1,-10,-4.5,corner-brook
April,7,-3,2.0,corner-brook
May,13,1,7.0,corner-brook
June,19,6,12.5,corner-brook
July,23,10,16.5,corner-brook
August,22,10,16.0,corner-brook
September,17,6,11.5,corner-brook
October,11,1,6.0,corner-brook
November,5,-2,1.5,corner-brook
December,0,-8,-4.0,corner-brook
