month,high_temp,low_temp,mean,city
January,0,-7,-3.5,windsor
February,1,-6,-2.5,windsor
March,7,-2,2.5,windsor
April,14,4,9.0,windsor
May,21,10,15.5,windsor
June,26,16,21.0,windsor
July,28,18,23.0,windsor
August,27,17,22.0,windsor
September,23,13,18.0,windsor
October,16,7,11.5,windsor
November,9,1,5.0,windsor
December,3,-4,-0.5,windsor
