month,high_temp,low_temp,mean,city
January,-2,-10,-6.0,vaughan
February,-1,-10,-5.5,vaughan
March,4,-5,-0.5,vaughan
April,12,1,6.5,vaughan
May,19,8,13.5,vaughan
June,24,13,18.5,vaughan
July,27,16,21.5,vaughan
August,26,15,20.5,vaughan
September,21,10,15.5,vaughan
October,14,4,9.0,vaughan
November,7,-1,3.0,vaughan
December,1,-6,-2.5,vaughan
