month,high_temp,low_temp,mean,city
January,-6,-17,-11.5,edmonton
February,-4,-16,-10.0,edmonton
March,1,-10,-4.5,edmonton
April,11,-2,4.5,edmonton
May,18,3,10.5,edmonton
June,21,8,14.5,edmonton
July,23,10,16.5,edmonton
August,23,8,15.5,edmonton
September,18,3,10.5,edmonton
October,11,-3,4.0,edmonton
November,1,-10,-4.5,edmonton
December,-5,-16,-10.5,edmonton
