month,high_temp,low_temp,mean,city
January,1,-5,-2.0,kelowna
February,4,-5,-0.5,kelowna
March,10,-2,4.0,kelowna
April,15,1,8.0,kelowna
May,20,5,12.5,kelowna
June,24,9,16.5,kelowna
July,29,11,20.0,kelowna
August,28,11,19.5,kelowna
September,22,6,14.0,kelowna
October,14,1,7.5,kelowna
November,6,-2,2.0,kelowna
December,1,-5,-2.0,kelowna
