month,high_temp,low_temp,mean,city
January,-7,-18,-12.5,grande-prairie
February,-4,-16,-10.0,grande-prairie
March,1,-10,-4.5,grande-prairie
April,10,-2,4.0,grande-prairie
May,17,3,10.0,grande-prairie
June,21,8,14.5,grande-prairie
July,23,10,16.5,grande-prairie
August,22,8,15.0,grande-prairie
September,18,4,11.0,grande-prairie
October,10,-2,4.0,grande-prairie
November,-1,-11,-6.0,grande-prairie
December,-6,-17,-11.5,grande-prairie
