month,high_temp,low_temp,mean,city
January,-21,-30,-25.5,yellowknife
February,-18,-27,-22.5,yellowknife
March,-11,-23,-17.0,yellowknife
April,1,-11,-5.0,yellowknife
May,10,0,5.0,yellowknife
June,19,9,14.0,yellowknife
July,22,13,17.5,yellowknife
August,18,11,14.5,yellowknife
September,11,4,7.5,yellowknife
October,2,-3,-0.5,yellowknife
November,-9,-17,-13.0,yellowknife
December,-18,-26,-22.0,yellowknife
