month,high_temp,low_temp,mean,city
January,-6,-16,-11.0,moose-jaw
February,-5,-14,-9.5,moose-jaw
March,2,-8,-3.0,moose-jaw
April,12,-1,5.5,moose-jaw
May,19,5,12.0,moose-jaw
June,23,11,17.0,moose-jaw
July,26,13,19.5,moose-jaw
August,26,12,19.0,moose-jaw
September,20,7,13.5,moose-jaw
October,12,0,6.0,moose-jaw
November,2,-7,-2.5,moose-jaw
December,-5,-14,-9.5,moose-jaw
