month,high_temp,low_temp,mean,city
January,-3,-12,-7.5,charlottetown
February,-3,-12,-7.5,charlottetown
March,1,-7,-3.0,charlottetown
April,7,-1,3.0,charlottetown
May,15,4,9.5,charlottetown
June,20,10,15.0,charlottetown
July,24,14,19.0,charlottetown
August,23,14,18.5,charlottetown
September,19,10,14.5,charlottetown
October,13,5,9.0,charlottetown
November,6,-1,2.5,charlottetown
December,1,-7,-3.0,charlottetown
