month,high_temp,low_temp,mean,city
January,-12,-22,-17.0,wood-buffalo
February,-7,-19,-13.0,wood-buffalo
March,0,-13,-6.5,wood-buffalo
April,10,-3,3.5,wood-buffalo
May,17,3,10.0,wood-buffalo
June,22,8,15.0,wood-buffalo
July,24,11,17.5,wood-buffalo
August,23,9,16.0,wood-buffalo
September,17,4,10.5,wood-buffalo
October,8,-2,3.0,wood-buffalo
November,-4,-12,-8.0,wood-buffalo
December,-10,-20,-15.0,wood-buffalo
