month,precipitation,city
January,10.3,edmonton
February,6.4,edmonton
March,9.6,edmonton
April,12.7,edmonton
May,23.3,edmonton
June,44.8,edmonton
July,55.3,edmonton
August,26,edmonton
September,15.9,edmonton
October,8.4,edmonton
November,9.6,edmonton
December,8.5,edmonton
