month,precipitation,city
January,42.5,gatineau
February,29.5,gatineau
March,34.7,gatineau
April,46.6,gatineau
May,45.6,gatineau
June,55.3,gatineau
July,47.7,gatineau
August,41.9,gatineau
September,53.9,gatineau
October,50.2,gatineau
November,43.5,gatineau
December,47.3,gatineau
