month,precipitation,city
January,128.5,burnaby
February,68.1,burnaby
March,87.9,burnaby
April,55,burnaby
May,40.5,burnaby
June,27.1,burnaby
July,11.3,burnaby
August,11.4,burnaby
September,25.1,burnaby
October,80.1,burnaby
November,135.9,burnaby
December,126.6,burnaby
