month,precipitation,city
January,10.1,kamloops
February,4.8,kamloops
March,4.8,kamloops
April,5.1,kamloops
May,15.2,kamloops
June,21.6,kamloops
July,12.4,kamloops
August,9.3,kamloops
September,10.3,kamloops
October,10.6,kamloops
November,12.6,kamloops
December,14.8,kamloops
