month,precipitation,city
January,6.5,lethbridge
February,5.1,lethbridge
March,9.6,lethbridge
April,15.4,lethbridge
May,30,lethbridge
June,44.2,lethbridge
July,19,lethbridge
August,17.1,lethbridge
September,18,lethbridge
October,11.2,lethbridge
November,8.5,lethbridge
December,6.6,lethbridge
