month,precipitation,city
January,27.8,markham
February,20.1,markham
March,23,markham
April,39.2,markham
May,37.6,markham
June,42.2,markham
July,42.1,markham
August,30,markham
September,35,markham
October,38.1,markham
November,35.1,markham
December,30.5,markham
