month,precipitation,city
January,4.3,calgary
February,4.5,calgary
March,8.4,calgary
April,12.5,calgary
May,30.7,calgary
June,58.2,calgary
July,37.4,calgary
August,31,calgary
September,17.8,calgary
October,7.1,calgary
November,6.5,calgary
December,4.9,calgary
