month,precipitation,city
January,43.1,london
February,35.9,london
March,38.6,london
April,48.4,london
May,45,london
June,38.1,london
July,40.3,london
August,31.2,london
September,44.4,london
October,47.3,london
November,46.3,london
December,46.9,london
