month,precipitation,city
January,30.2,toronto
February,24.1,toronto
March,24.4,toronto
April,43.6,toronto
May,42,toronto
June,40.9,toronto
July,42.6,toronto
August,32,toronto
September,36.6,toronto
October,37.2,toronto
November,32.5,toronto
December,33.1,toronto
