month,precipitation,city
January,128.5,vancouver
February,68.1,vancouver
March,87.9,vancouver
April,55,vancouver
May,40.5,vancouver
June,27.1,vancouver
July,11.3,vancouver
August,11.4,vancouver
September,25.1,vancouver
October,80.1,vancouver
November,135.9,vancouver
December,126.6,vancouver
