month,precipitation,city
January,15.8,winnipeg
February,13.9,winnipeg
March,33.7,winnipeg
April,29.7,winnipeg
May,76.6,winnipeg
June,91.1,winnipeg
July,59.8,winnipeg
August,62.9,winnipeg
September,45,winnipeg
October,39,winnipeg
November,20,winnipeg
December,18,winnipeg
