month,precipitation,city
January,7.9,regina
February,5.8,regina
March,11.9,regina
April,15.2,regina
May,23.4,regina
June,49.2,regina
July,39.5,regina
August,29.9,regina
September,13.4,regina
October,20.2,regina
November,8.5,regina
December,7.1,regina
