month,precipitation,city
January,79.6,halifax
February,66.2,halifax
March,62.9,halifax
April,68.4,halifax
May,53.9,halifax
June,55.5,halifax
July,38.3,halifax
August,35.2,halifax
September,49,halifax
October,70.9,halifax
November,86.5,halifax
December,94.2,halifax
