month,precipitation,city
January,8.9,saskatoon
February,4.7,saskatoon
March,6.3,saskatoon
April,11.4,saskatoon
May,16.9,saskatoon
June,32,saskatoon
July,31.2,saskatoon
August,18.9,saskatoon
September,10.2,saskatoon
October,7.4,saskatoon
November,7.1,saskatoon
December,8.4,saskatoon
