month,precipitation,city
January,60.5,moncton
February,54.8,moncton
March,63.2,moncton
April,62.8,moncton
May,55.7,moncton
June,57,moncton
July,51.9,moncton
August,39.3,moncton
September,51.3,moncton
October,63.1,moncton
November,58.8,moncton
December,80.6,moncton
