month,precipitation,city
January,10.8,whitehorse
February,5.6,whitehorse
March,3.6,whitehorse
April,2.5,whitehorse
May,6.7,whitehorse
June,21.4,whitehorse
July,28,whitehorse
August,21.8,whitehorse
September,18.1,whitehorse
October,14.5,whitehorse
November,15.9,whitehorse
December,11,whitehorse
