month,precipitation,city
January,11,brandon
February,7.9,brandon
March,11.7,brandon
April,10.5,brandon
May,34.5,brandon
June,53.6,brandon
July,35.1,brandon
August,25.3,brandon
September,16,brandon
October,10.2,brandon
November,8.1,brandon
December,11.1,brandon
