month,precipitation,city
January,27.8,vaughan
February,20.1,vaughan
March,23,vaughan
April,39.2,vaughan
May,37.6,vaughan
June,42.2,vaughan
July,42.1,vaughan
August,30,vaughan
September,35,vaughan
October,38.1,vaughan
November,35.1,vaughan
December,30.5,vaughan
