month,precipitation,city
January,6.2,moose-jaw
February,3.6,moose-jaw
March,4.8,moose-jaw
April,9.4,moose-jaw
May,21.5,moose-jaw
June,36.7,moose-jaw
July,18.2,moose-jaw
August,16.3,moose-jaw
September,8.1,moose-jaw
October,3.9,moose-jaw
November,5.1,moose-jaw
December,5.5,moose-jaw
