month,precipitation,city
January,27.1,mount-pearl
February,37.4,mount-pearl
March,28.1,mount-pearl
April,28.5,mount-pearl
May,21.4,mount-pearl
June,20,mount-pearl
July,28.2,mount-pearl
August,27.4,mount-pearl
September,28.2,mount-pearl
October,15.4,mount-pearl
November,18.4,mount-pearl
December,24.3,mount-pearl
