month,precipitation,city
January,32.2,kingston
February,28.6,kingston
March,26,kingston
April,37.7,kingston
May,32.3,kingston
June,30,kingston
July,25.5,kingston
August,20.9,kingston
September,37.8,kingston
October,46,kingston
November,43.8,kingston
December,43.4,kingston
