month,precipitation,city
January,98,corner-brook
February,73.7,corner-brook
March,46.5,corner-brook
April,40.2,corner-brook
May,40.9,corner-brook
June,42.7,corner-brook
July,52.3,corner-brook
August,60.9,corner-brook
September,57,corner-brook
October,65.5,corner-brook
November,65.6,corner-brook
December,87.5,corner-brook
