month,precipitation,city
January,7.7,red-deer
February,5.3,red-deer
March,10.1,red-deer
April,10.9,red-deer
May,30.5,red-deer
June,60.5,red-deer
July,54.9,red-deer
August,40.8,red-deer
September,20.7,red-deer
October,8.4,red-deer
November,7.9,red-deer
December,6.4,red-deer
