month,precipitation,city
January,35.3,kitchener
February,24.5,kitchener
March,29.5,kitchener
April,42.9,kitchener
May,44.3,kitchener
June,45,kitchener
July,48.6,kitchener
August,33,kitchener
September,45.3,kitchener
October,46.8,kitchener
November,38.5,kitchener
December,37.8,kitchener
