month,precipitation,city
January,8.5,wood-buffalo
February,6.6,wood-buffalo
March,7.8,wood-buffalo
April,10.8,wood-buffalo
May,16.7,wood-buffalo
June,42.4,wood-buffalo
July,48.6,wood-buffalo
August,30.6,wood-buffalo
September,20.7,wood-buffalo
October,11.3,wood-buffalo
November,10.1,wood-buffalo
December,7.8,wood-buffalo
