month,precipitation,city
January,101.2,victoria
February,58.6,victoria
March,57.2,victoria
April,29.6,victoria
May,23.4,victoria
June,13.7,victoria
July,4.5,victoria
August,6.6,victoria
September,14,victoria
October,54.6,victoria
November,102.1,victoria
December,99.5,victoria
