month,precipitation,city
January,38.8,windsor
February,34.1,windsor
March,37.1,windsor
April,52.3,windsor
May,53.9,windsor
June,47.9,windsor
July,46.9,windsor
August,34.4,windsor
September,46,windsor
October,37.2,windsor
November,36.3,windsor
December,41.7,windsor
