month,precipitation,city
January,69.6,saint-john
February,59.3,saint-john
March,61,saint-john
April,57.1,saint-john
May,58,saint-john
June,55.4,saint-john
July,39.9,saint-john
August,35.2,saint-john
September,56.7,saint-john
October,72.7,saint-john
November,77.7,saint-john
December,85.5,saint-john
