month,precipitation,city
January,128.5,richmond
February,68.1,richmond
March,87.9,richmond
April,55,richmond
May,40.5,richmond
June,27.1,richmond
July,11.3,richmond
August,11.4,richmond
September,25.1,richmond
October,80.1,richmond
November,135.9,richmond
December,126.6,richmond
