month,precipitation,city
January,15.8,steinbach
February,13.9,steinbach
March,33.7,steinbach
April,29.7,steinbach
May,76.6,steinbach
June,91.1,steinbach
July,59.8,steinbach
August,62.9,steinbach
September,45,steinbach
October,39,steinbach
November,20,steinbach
December,18,steinbach
