month,precipitation,city
January,153.7,surrey
February,68.3,surrey
March,107.9,surrey
April,71.6,surrey
May,46,surrey
June,32.2,surrey
July,14,surrey
August,12.9,surrey
September,28.8,surrey
October,89.9,surrey
November,168,surrey
December,132.8,surrey
