month,precipitation,city
January,31.5,prince-george
February,16.2,prince-george
March,16.7,prince-george
April,20.8,prince-george
May,28.8,prince-george
June,39.1,prince-george
July,37.8,prince-george
August,30,prince-george
September,31.9,prince-george
October,40.3,prince-george
November,35.1,prince-george
December,25.7,prince-george
