month,precipitation,city
January,43.6,hamilton
February,29.2,hamilton
March,35.2,hamilton
April,51,hamilton
May,50.2,hamilton
June,43.3,hamilton
July,44.7,hamilton
August,34.3,hamilton
September,39.9,hamilton
October,47.9,hamilton
November,37.8,hamilton
December,43.8,hamilton
