month,precipitation,city
January,46.2,fredericton
February,34.1,fredericton
March,44.8,fredericton
April,47.9,fredericton
May,52.1,fredericton
June,50.1,fredericton
July,44.9,fredericton
August,38.4,fredericton
September,43,fredericton
October,52.7,fredericton
November,56.1,fredericton
December,53.2,fredericton
