month,precipitation,city
January,7.9,st-albert
February,4.7,st-albert
March,6.6,st-albert
April,12.2,st-albert
May,23.2,st-albert
June,46,st-albert
July,53.5,st-albert
August,28.5,st-albert
September,16.4,st-albert
October,8.1,st-albert
November,7.8,st-albert
December,6.2,st-albert
