month,precipitation,city
January,30.2,brampton
February,24.1,brampton
March,24.4,brampton
April,43.6,brampton
May,42,brampton
June,40.9,brampton
July,42.6,brampton
August,32,brampton
September,36.6,brampton
October,37.2,brampton
November,32.5,brampton
December,33.1,brampton
