month,precipitation,city
January,8.6,iqaluit
February,7.2,iqaluit
March,9.3,iqaluit
April,13.7,iqaluit
May,11.8,iqaluit
June,17.6,iqaluit
July,18.6,iqaluit
August,32.4,iqaluit
September,24.9,iqaluit
October,15.3,iqaluit
November,13,iqaluit
December,9.2,iqaluit
