month,precipitation,city
January,45.7,laval
February,36.5,laval
March,39.7,laval
April,52.2,laval
May,49.9,laval
June,51.4,laval
July,52.5,laval
August,50.7,laval
September,48.4,laval
October,53.2,laval
November,46.3,laval
December,52.5,laval
