month,precipitation,city
January,45.7,montreal
February,36.5,montreal
March,39.7,montreal
April,52.2,montreal
May,49.9,montreal
June,51.4,montreal
July,52.5,montreal
August,50.7,montreal
September,48.4,montreal
October,53.2,montreal
November,46.3,montreal
December,52.5,montreal
