month,precipitation,city
January,10.3,prince-albert
February,5.7,prince-albert
March,6.2,prince-albert
April,13.5,prince-albert
May,17.7,prince-albert
June,49.1,prince-albert
July,44.8,prince-albert
August,24.9,prince-albert
September,17.7,prince-albert
October,12.7,prince-albert
November,9.2,prince-albert
December,9.3,prince-albert
