month,precipitation,city
January,42.5,ottawa
February,29.5,ottawa
March,34.7,ottawa
April,46.6,ottawa
May,45.6,ottawa
June,55.3,ottawa
July,47.7,ottawa
August,41.9,ottawa
September,53.9,ottawa
October,50.2,ottawa
November,43.5,ottawa
December,47.3,ottawa
