month,precipitation,city
January,10.1,yellowknife
February,6.9,yellowknife
March,7.4,yellowknife
April,3,yellowknife
May,5.7,yellowknife
June,11.2,yellowknife
July,15.3,yellowknife
August,22.1,yellowknife
September,21.2,yellowknife
October,17.8,yellowknife
November,16.5,yellowknife
December,11,yellowknife
