month,precipitation,city
January,13.3,thompson
February,9.8,thompson
March,11,thompson
April,9.5,thompson
May,17.2,thompson
June,31.4,thompson
July,43.6,thompson
August,46.4,thompson
September,31.8,thompson
October,22.4,thompson
November,16.7,thompson
December,12.9,thompson
