month,precipitation,city
January,76.8,longueuil
February,68.8,longueuil
March,70.7,longueuil
April,93.6,longueuil
May,107.3,longueuil
June,109.6,longueuil
July,104.7,longueuil
August,96.3,longueuil
September,82.1,longueuil
October,110.3,longueuil
November,65.7,longueuil
December,127.2,longueuil
