month,precipitation,city
January,5.3,medicine-hat
February,3.8,medicine-hat
March,6.8,medicine-hat
April,8.5,medicine-hat
May,21.2,medicine-hat
June,35.7,medicine-hat
July,14.6,medicine-hat
August,13.7,medicine-hat
September,12.7,medicine-hat
October,4.6,medicine-hat
November,5.9,medicine-hat
December,5,medicine-hat
